europeana_id,dcFormat,dctermsExtent,dcPublisher,dcRights,dcSource
/2026105/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Institut_Mathildenh_he_Darmstadt_118023,Guss (Verfahren); Pressen (Drücken); Guss (Verfahren); http://partage.vocnet.org/part00450; Pressen (Drücken); http://partage.vocnet.org/part00666,"Object dimension (HxD): 33 x 15.8 cm (total dimension); Object dimension (HxD): 22.5 x 15.8 cm; Objektmaß (HxD): 33 x 15,8 cm (Gesamtmaß); Objektmaß (HxD): 22,5 x 15,8 cm; Objektmaß (HxD): 33 x 15,8 cm (Gesamtmaß); Objektmaß (HxD): 22,5 x 15,8 cm",,"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster; Institute Mathildenhöhe, Darmstadt city art collection/photo: Gregor Schuster; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster",
/2026105/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Institut_Mathildenh_he_Darmstadt_115692,,"Objektmaß (HxD untenxD oben): 16,5 x 9 x 8 cm; Objektmaß (HxD untenxD oben): 16,5 x 9 x 8 cm; Object dimension (HxD below): 16.5 x 9 x 8 cm",,"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster; Institute Mathildenhöhe, Darmstadt city art collection/photo: Gregor Schuster; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster",
/2026105/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Institut_Mathildenh_he_Darmstadt_115691,,"Object dimension (HxD below): 25.5 x 9.5 x 7.9 cm; Objektmaß (HxD untenxD oben): 25,5 x 9,5 x 7,9 cm; Objektmaß (HxD untenxD oben): 25,5 x 9,5 x 7,9 cm",,"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster; Institute Mathildenhöhe, Darmstadt city art collection/photo: Gregor Schuster; Institut Mathildenhöhe, Städtische Kunstsammlung Darmstadt / Foto: Gregor Schuster",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_8621,glasiert; Relief (Technik); Relief (technique); glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; Relief (Technik); http://partage.vocnet.org/part00664; http://partage.vocnet.org/part01229; Malerei (künstlerische Technik),Höhe: 15 cm; Höhe: 15 cm; Height: 15 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_8620,glasiert; Relief (Technik); Relief (technique); glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; Relief (Technik); http://partage.vocnet.org/part00664; http://partage.vocnet.org/part01229; Malerei (künstlerische Technik),"Höhe: 24,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_8412,glasiert; schabloniert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik); glasiert; schabloniert; stenciled; glazed; Painting (artistic technique); Malerei (künstlerische Technik),Höhe: 13 cm; Höhe: 13 cm; Height: 13 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_782,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); Email (Beschichtung); glasiert; http://partage.vocnet.org/part01153; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik); Email (Beschichtung),"Height: 25.2 cm; Höhe: 25,2 cm; Höhe: 25,2 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_7142,glasiert; glasiert; glazed,Höhe: 13 cm; Höhe: 13 cm; Height: 13 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_7141,glasiert; glasiert; glazed,Höhe: 13 cm; Höhe: 13 cm; Height: 13 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_5457,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,"Höhe: 14,5 cm; Höhe: 14,5 cm; Height: 14.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_521,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Height: 23.5 cm; Höhe: 23,5 cm; Höhe: 23,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_5018,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),Höhe: 15 cm; Höhe: 15 cm; Height: 15 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_5011,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4984,http://partage.vocnet.org/part00663; mit Metall überziehen; mit Metall überziehen; Covering with metal,Height: 23 cm; Höhe: 23 cm; Höhe: 23 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4811,glasiert; glasiert; glazed,Height: 19 cm; Höhe: 19 cm; Höhe: 19 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4800,glasiert; schabloniert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik); glasiert; schabloniert; stenciled; glazed; Painting (artistic technique); Malerei (künstlerische Technik),"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4786,glasiert; Relief (Technik); Relief (technique); glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; Relief (Technik); http://partage.vocnet.org/part00664; http://partage.vocnet.org/part01229; Malerei (künstlerische Technik),"Height: 23.5 cm; Höhe: 23,5 cm; Höhe: 23,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4618,,"Height: 22.5 cm; Höhe: 22,5 cm; Höhe: 22,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4387,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Höhe: 24,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4334,,"Höhe: 8,8 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4322,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); Email (Beschichtung); glasiert; http://partage.vocnet.org/part01153; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik); Email (Beschichtung),"Höhe: 26,5 cm; Höhe: 26,5 cm; Height: 26.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4264,Versilbern; Silver; Versilbern; http://partage.vocnet.org/part00669,Höhe: 19 cm (gesamt),,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_4259,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,Height: 23 cm; Höhe: 23 cm; Höhe: 23 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_3620,glasiert; Relief (Technik); Relief (technique); glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; Relief (Technik); http://partage.vocnet.org/part00664; http://partage.vocnet.org/part01229; Malerei (künstlerische Technik),"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11122,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,Height: 19 cm; Höhe: 19 cm; Höhe: 19 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11121,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,Höhe: 24 cm; Höhe: 24 cm; Height: 24 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11125,,"Höhe: 12,7 cm; Höhe: 12,7 cm; Height: 12.7 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11115,Guss (Verfahren); Polieren; Polishing; http://partage.vocnet.org/part00665; Polieren; http://partage.vocnet.org/part00450; Guss (Verfahren),Height: 22 cm; Höhe: 22 cm; Höhe: 22 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11116,Guss (Verfahren); Polieren; Polishing; http://partage.vocnet.org/part00665; Polieren; http://partage.vocnet.org/part00450; Guss (Verfahren),Height: 11 cm; Höhe: 11 cm; Höhe: 11 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11111,Guss (Verfahren); Versilbern; Silver; Guss (Verfahren); Versilbern; http://partage.vocnet.org/part00450; http://partage.vocnet.org/part00669,"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11105,Prägen; http://partage.vocnet.org/part00453; Prägen,"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11104,Prägen; http://partage.vocnet.org/part00453; Prägen,"Height: 27.7 cm; Höhe: 27,7 cm; Höhe: 27,7 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11102,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,Height: 16 cm; Höhe: 16 cm; Höhe: 16 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11110,Guss (Verfahren); Versilbern; Silver; Guss (Verfahren); Versilbern; http://partage.vocnet.org/part00450; http://partage.vocnet.org/part00669,"Height: 22.5 cm; Höhe: 22,5 cm; Höhe: 22,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11101,Guss (Verfahren); Guss (Verfahren); http://partage.vocnet.org/part00450,Höhe: 20 cm; Höhe: 20 cm; Height: 20 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11094,Versilbern; Silver; Versilbern; http://partage.vocnet.org/part00669,Height: 19 cm; Höhe: 19 cm; Höhe: 19 cm,,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11091,Versilbern; Silver; Versilbern; http://partage.vocnet.org/part00669,"Höhe: 16,5 cm; Höhe: 16,5 cm; Height: 16.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11083,,"Höhe: 17,3 cm; Höhe: 17,3 cm; Height: 17.3 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_11082,,"Höhe: 25,3 cm; Höhe: 25,3 cm; Height: 25.3 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10724,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Height: 11.2 cm; Höhe: 11,2 cm; Höhe: 11,2 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10405,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Height: 13.5 cm; Höhe: 13,5 cm; Höhe: 13,5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10398,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Height: 20.7 cm; Höhe: 20,7 cm; Höhe: 20,7 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10393,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Height: 12.8 cm; Höhe: 12,8 cm; Höhe: 12,8 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10385,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Höhe: 14,5 cm; Höhe: 14,5 cm; Height: 14.5 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10384,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Höhe: 21,8 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin",
/2026103/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg___Br_han_Museum__Berlin_10823,glasiert; glazed; Painting (artistic technique); Malerei (künstlerische Technik); glasiert; http://partage.vocnet.org/part00664; Malerei (künstlerische Technik),"Durchmesser: 16,7 cm",,"Bröhan Museum, Berlin/photo: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Bröhan-Museum, Berlin / Foto: Martin Adam, Berlin; Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg",
/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__54814__Datensatz_,geformt & glasiert & gebrannt & bedruckt,"Bemaßung:26,5 cm (Höhe), 34,5 cm (Breite), 9,3 cm (Tiefe)",,Spielzeugmuseum der Stadt Nürnberg (Museum Lydia Bayer); Toy museum of the city of Nuremberg (Museum Lydia Bayer); Spielzeugmuseum der Stadt Nürnberg (Museum Lydia Bayer),
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APMH00318208,,,,"Ministère de la Culture (France), Médiathèque de l'architecture et du patrimoine (Centre de recherche des monuments historiques - CRMH) diffusion RMN",
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APMH00318206,,,,"Ministère de la Culture (France), Médiathèque de l'architecture et du patrimoine (Centre de recherche des monuments historiques - CRMH) diffusion RMN",
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APMH00318207,,,,"Ministère de la Culture (France), Médiathèque de l'architecture et du patrimoine (Centre de recherche des monuments historiques - CRMH) diffusion RMN",
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP70L00716,,,,"Donation Roger Parry, Ministry of Culture (Media library of architecture and heritage) RMN broadcast; Donation Roger Parry, Ministère de la culture (Médiathèque de l'architecture et du patrimoine) diffusion RMN",
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP70L00717,,,,"Donation Roger Parry, Ministry of Culture (Media library of architecture and heritage) RMN broadcast; Donation Roger Parry, Ministère de la culture (Médiathèque de l'architecture et du patrimoine) diffusion RMN",
/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP70L00718,,,,"Donation Roger Parry, Ministry of Culture (Media library of architecture and heritage) RMN broadcast; Donation Roger Parry, Ministère de la culture (Médiathèque de l'architecture et du patrimoine) diffusion RMN",
